,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
364,portoferraio,42.8115,10.3146,55.99,89,6,1.99,IT,1616889003
365,praia da vitoria,38.7333,-27.0667,60.01,88,75,4.12,PT,1616889122
366,biak,-0.9131,122.8766,79.38,76,100,2.21,ID,1616889123
367,zambezi,-13.5432,23.1047,63.12,97,89,3.74,ZM,1616889124
368,ranong,9.9658,98.6348,77.0,88,40,2.3,TH,1616889124
369,cobija,-11.0267,-68.7692,73.69,97,99,1.79,BO,1616889125
370,chenzhou,25.8,113.0333,68.81,86,90,0.67,CN,1616889126
371,kasongo-lunda,-6.4667,16.8167,70.2,96,87,1.39,CD,1616889127
372,qinzhou,21.95,108.6167,74.28,84,95,4.61,CN,1616889128
373,san jose,37.3394,-121.895,77.0,19,1,10.36,US,1616889128
374,omboue,-1.5746,9.2618,78.75,87,75,5.26,GA,1616889129
375,pevek,69.7008,170.3133,-6.57,89,57,6.82,RU,1616889129
376,naze,28.3667,129.4833,71.6,94,75,23.02,JP,1616889130
377,hare bay,48.8499,-54.0148,24.8,93,90,26.46,CA,1616889130
378,naliya,23.2667,68.8333,75.16,74,39,9.91,IN,1616889131
379,odweyne,9.4092,45.064,68.52,37,21,8.97,SO,1616889131
380,ketchikan,55.3422,-131.6461,44.6,100,90,8.05,US,1616889132
381,hervey bay,-25.2986,152.8535,78.8,69,1,2.3,AU,1616889133
382,chanika,-5.4167,38.0167,70.02,78,100,4.54,TZ,1616889133
383,nuevo imperial,-13.0754,-76.3172,71.53,78,14,3.94,PE,1616889134
384,agadir,30.4202,-9.5982,69.8,56,35,8.05,MA,1616889134
385,loiza,18.4313,-65.8802,78.8,73,40,12.66,PR,1616889135
386,sokoni,-6.4333,39.55,78.8,83,75,11.03,TZ,1616889136
387,sampit,-2.5333,112.95,76.32,89,95,1.03,ID,1616889136
388,lorengau,-2.0226,147.2712,82.53,80,94,8.99,PG,1616889137
389,jacareacanga,-6.2222,-57.7528,73.63,96,82,0.38,BR,1616889138
390,kokopo,-4.352,152.2633,84.29,63,100,4.52,PG,1616889138
391,labuan,5.2767,115.2417,77.0,94,20,1.14,MY,1616889139
392,catamarca,-28.4696,-65.7852,55.99,82,5,2.48,AR,1616889139
393,najran,17.4924,44.1277,68.0,19,0,4.52,SA,1616888919
394,westerland,54.9079,8.3033,42.01,87,75,13.8,DE,1616889140
395,pangai,-19.8,-174.35,81.77,78,2,16.28,TO,1616889141
396,el prat de llobregat,41.3278,2.0947,55.99,87,20,4.43,ES,1616888860
397,richards bay,-28.783,32.0377,69.73,83,81,18.57,ZA,1616889142
398,nanakuli,21.3906,-158.1547,84.2,48,40,10.36,US,1616889142
399,alamor,-4.0181,-80.0197,84.2,61,75,6.91,EC,1616889143
400,burns lake,54.2331,-125.7533,41.0,56,100,4.61,CA,1616889143
401,tiszavasvari,47.9667,21.35,46.4,57,99,3.44,HU,1616889144
402,karoi,-16.8099,29.6925,61.12,95,77,4.94,ZW,1616889145
403,flin flon,54.7682,-101.865,28.4,37,20,12.66,CA,1616889145
404,sona,45.4388,10.8255,48.0,87,75,4.61,IT,1616889146
405,mareeba,-17.0,145.4333,82.0,71,44,8.99,AU,1616889147
406,giurgita,44.0167,23.6333,43.0,61,0,2.3,RO,1616889147
407,mlalo,-4.9333,38.9333,74.25,82,100,4.36,TZ,1616889148
408,auriflama,-20.6856,-50.5547,74.53,63,39,7.02,BR,1616889148
409,venancio aires,-29.6064,-52.1919,73.0,93,100,1.01,BR,1616889149
410,fuyu,45.1833,124.8167,49.55,69,1,15.93,CN,1616889149
411,namtsy,62.7161,129.6658,15.8,79,75,3.53,RU,1616889150
412,magole,-6.3667,37.3667,70.39,80,100,1.01,TZ,1616889150
413,liptovsky hradok,49.0396,19.7234,41.0,87,90,19.57,SK,1616889151
414,san cristobal,7.7669,-72.225,73.4,94,75,2.3,VE,1616889152
415,pontianak,-0.0333,109.3333,77.0,94,40,4.61,ID,1616889111
416,thompson,55.7435,-97.8558,23.0,50,75,11.5,CA,1616889153
417,valleyview,55.0667,-117.2859,41.0,65,100,9.22,CA,1616889153
418,mafinga,-7.25,35.0667,63.21,90,100,1.66,TZ,1616889154
419,bilma,18.6853,12.9164,69.48,15,0,18.72,NE,1616889154
420,dukat,62.55,155.55,6.15,71,47,1.48,RU,1616889155
421,inirida,3.8653,-67.9239,74.88,94,71,2.37,CO,1616889155
422,tecoanapa,16.5167,-98.75,82.15,54,0,6.8,MX,1616889156
423,shache,38.4167,77.2406,51.13,48,72,9.86,CN,1616889156
424,porto murtinho,-21.6989,-57.8825,78.3,73,100,9.13,BR,1616889157
425,crnomelj,45.5711,15.1889,51.8,71,90,3.44,SI,1616889159
426,tiarei,-17.5333,-149.3333,89.6,62,40,10.36,PF,1616889160
427,khamaria,23.2167,79.8833,75.72,19,0,4.07,IN,1616889160
428,pangody,65.85,74.4859,-12.53,99,22,7.34,RU,1616889161
429,gewane,10.1664,40.6453,72.16,39,58,2.01,ET,1616889161
430,callaway,30.153,-85.5699,73.4,83,75,14.97,US,1616889162
431,avera,33.194,-82.5271,78.8,69,1,5.19,US,1616889162
432,dasoguz,41.8363,59.9666,50.0,53,0,6.91,TM,1616889163
433,freeport,40.6576,-73.5832,55.4,58,1,8.05,US,1616889164
434,urucara,-2.5364,-57.76,74.39,94,93,1.74,BR,1616889164
435,hay river,60.8156,-115.7999,35.6,35,100,12.66,CA,1616889165
436,cooma,-36.2333,149.1333,48.2,100,25,5.75,AU,1616889166
437,berezovyy,51.6667,135.7,32.29,85,99,1.59,RU,1616889166
438,medina,24.4686,39.6142,75.2,16,5,11.5,SA,1616888981
439,alvand,36.3187,49.1678,29.55,69,11,5.14,IR,1616889168
440,samarai,-10.6167,150.6667,84.58,75,65,15.46,PG,1616889168
441,hirara,24.8,125.2833,75.2,94,75,16.11,JP,1616889169
442,beloha,-25.1667,45.05,70.25,84,21,3.36,MG,1616889169
443,buldana,20.5333,76.1833,78.69,15,0,2.66,IN,1616889170
444,new orleans,29.9547,-90.0751,80.6,74,40,12.66,US,1616889171
445,wad rawah,15.1603,33.1397,77.25,14,1,22.21,SD,1616889171
446,portland,45.5234,-122.6762,64.99,44,75,4.61,US,1616889128
447,riyadh,24.6877,46.7219,75.2,20,35,14.97,SA,1616888761
448,ngunguru,-35.6167,174.5,66.99,89,99,5.99,NZ,1616889173
449,cap malheureux,-19.9842,57.6142,77.0,82,79,1.99,MU,1616889173
450,qaqortoq,60.7167,-46.0333,10.4,48,75,1.14,GL,1616889174
451,masterton,-40.9597,175.6575,71.01,61,100,4.0,NZ,1616889174
452,igarka,67.4667,86.5833,5.16,96,99,6.76,RU,1616889175
453,svetlogorsk,52.6333,29.7333,40.14,79,73,5.08,BY,1616889176
454,bayir,37.2687,28.2167,39.2,87,0,3.44,TR,1616889176
455,laguna,38.421,-121.4238,75.99,25,1,3.44,US,1616889177
456,mao,39.8885,4.2658,51.8,82,0,9.22,ES,1616889178
457,slave lake,55.2834,-114.769,46.4,57,90,4.61,CA,1616889178
458,rafai,4.95,23.9167,69.51,77,38,2.53,CF,1616889179
459,valparaiso,-33.0393,-71.6273,68.0,34,0,11.5,CL,1616889180
460,korla,41.7597,86.1469,50.83,58,41,8.08,CN,1616889181
461,tocopilla,-22.092,-70.1979,67.66,75,10,4.27,CL,1616889181
462,mount pleasant,32.7941,-79.8626,73.99,94,75,10.36,US,1616889182
463,mapiri,-15.25,-68.1667,69.75,98,93,1.95,BO,1616889182
464,marystown,47.1666,-55.1483,27.39,77,100,26.6,CA,1616889183
465,mabaruma,8.2,-59.7833,71.91,94,99,2.86,GY,1616889184
466,lagoa,39.05,-27.9833,59.27,88,25,11.07,PT,1616889184
467,cockburn town,21.4612,-71.1419,77.0,73,40,13.8,TC,1616889185
468,changping,40.2186,116.2197,57.2,19,17,11.18,CN,1616888968
469,ibra,22.6906,58.5334,72.7,47,28,1.39,OM,1616889186
470,primero de marzo,-25.153,-56.928,75.2,88,75,9.22,PY,1616889186
471,shaoxing,30.011,120.5715,60.8,100,40,1.41,CN,1616889187
472,vardo,70.3705,31.1107,36.75,96,100,19.33,NO,1616889188
473,itarema,-2.9248,-39.9167,76.21,87,61,6.87,BR,1616889188
474,maua,-23.6678,-46.4614,79.0,61,0,5.75,BR,1616889189
475,whitefish,48.4111,-114.3376,55.4,35,75,16.11,US,1616889149
476,altay,47.8667,88.1167,29.7,62,18,7.16,CN,1616889191
477,cap-aux-meules,47.3821,-61.8597,26.6,80,100,18.41,CA,1616889191
478,sabha,27.0377,14.4283,56.82,33,0,15.12,LY,1616889192
479,sao felix do xingu,-6.6447,-51.995,71.87,96,46,0.65,BR,1616889193
480,beyneu,45.3167,55.2,36.46,95,86,12.5,KZ,1616889193
481,binabalian,16.4202,119.9279,81.55,74,71,4.59,PH,1616889194
482,neuquen,-38.9516,-68.0591,69.8,21,0,4.61,AR,1616889005
483,hofn,64.2539,-15.2082,32.88,94,100,15.08,IS,1616889195
484,kapit,2.0167,112.9333,76.53,90,97,0.96,MY,1616889195
485,high level,58.5169,-117.136,35.6,44,90,10.36,CA,1616889196
486,sao gabriel da cachoeira,-0.1303,-67.0892,73.6,97,76,3.29,BR,1616889197
487,ilulissat,69.2167,-51.1,-14.8,53,3,2.3,GL,1616889197
488,mocuba,-16.8392,36.9856,71.87,97,57,2.8,MZ,1616889198
489,mount isa,-20.7333,139.5,86.0,21,32,17.27,AU,1616889198
490,worland,44.0169,-107.9554,55.0,30,1,4.61,US,1616889199
491,imeni poliny osipenko,52.4201,136.4853,27.86,89,90,2.48,RU,1616889199
492,ust-kuyga,70.0167,135.6,7.18,94,100,4.27,RU,1616889200
493,mehamn,71.0357,27.8492,33.53,87,100,10.0,NO,1616889201
494,kismayo,-0.3582,42.5454,79.34,78,65,10.09,SO,1616889201
495,port elizabeth,-33.918,25.5701,62.6,72,0,16.11,ZA,1616889202
496,dauphin,51.1494,-100.0502,35.6,41,75,8.05,CA,1616889202
497,serrinha,-11.6642,-39.0075,71.87,72,70,9.84,BR,1616889203
498,talnakh,69.4865,88.3972,-3.59,99,73,1.52,RU,1616889204
499,burgeo,47.6167,-57.6152,24.89,72,100,22.48,CA,1616889204
500,trelew,-43.249,-65.3051,69.1,22,96,18.01,AR,1616889205
501,high prairie,55.4334,-116.4858,41.0,65,100,9.22,CA,1616889206
502,qandala,11.472,49.8728,78.48,66,22,2.48,SO,1616889207
503,jiuquan,39.7432,98.5174,47.59,38,100,2.89,CN,1616889207
504,shalya,57.2471,58.7298,11.61,97,57,3.29,RU,1616889208
505,palmas bellas,9.2319,-80.0867,79.0,82,44,21.0,PA,1616889208
506,dong hoi,17.4833,106.6,74.52,91,96,3.27,VN,1616889209
507,ola,59.5833,151.2833,2.57,81,73,1.07,RU,1616889210
508,half moon bay,37.4636,-122.4286,75.2,72,1,9.22,US,1616889210
509,kaspiyskiy,45.3929,47.3707,40.39,89,100,13.11,RU,1616889211
510,tarnogskiy gorodok,60.4997,43.5761,15.08,98,56,1.16,RU,1616889211
511,yuxia,34.0615,108.6291,59.0,87,0,2.68,CN,1616889212
512,shimoda,34.6667,138.95,64.4,68,75,12.66,JP,1616889213
513,nipawin,53.3668,-104.0009,30.2,64,1,5.75,CA,1616889213
514,praia,14.9215,-23.5087,68.0,73,20,23.02,CV,1616889214
515,north bend,43.4065,-124.2243,63.0,71,1,16.11,US,1616889215
516,leningradskiy,69.3833,178.4167,-3.57,86,47,8.48,RU,1616889215
517,northam,51.0333,-4.2167,50.0,83,93,18.01,GB,1616889216
518,rawson,-43.3002,-65.1023,67.62,31,92,21.92,AR,1616888984
519,yablonovo,50.8523,37.3574,33.8,93,0,6.71,RU,1616889217
520,esperance,-33.8667,121.9,59.0,94,26,8.05,AU,1616889217
521,padang,-0.9492,100.3543,77.0,94,75,6.91,ID,1616889218
522,lavrentiya,65.5833,-171.0,-1.62,84,20,4.43,RU,1616889218
523,galle,6.0367,80.217,77.77,85,100,1.66,LK,1616889219
524,tessalit,20.1986,1.0114,69.31,10,0,16.2,ML,1616889219
525,teya,60.3778,92.6267,18.23,98,98,4.07,RU,1616889220
526,lucapa,-8.4192,20.7447,64.85,95,100,0.72,AO,1616889221
527,ahuimanu,21.4447,-157.8378,84.2,48,40,18.41,US,1616889221
528,sisimiut,66.9395,-53.6735,-11.04,95,66,10.16,GL,1616889222
529,babushkin,51.7122,105.8647,20.32,83,21,5.68,RU,1616889223
530,port hedland,-20.3167,118.5667,82.4,78,40,8.05,AU,1616889223
531,kasiri,8.9412,-13.1148,82.4,74,40,8.05,SL,1616889224
532,batagay,67.6333,134.6333,10.74,89,100,1.54,RU,1616889226
533,verkhnevilyuysk,63.4453,120.3167,13.98,95,80,3.49,RU,1616889226
534,otane,-39.8833,176.6333,71.01,70,100,5.99,NZ,1616889228
535,shulan,44.4167,126.95,47.89,64,63,6.42,CN,1616889228
536,vuktyl,63.8567,57.3094,10.06,97,60,3.09,RU,1616889229
537,sola,-13.8833,167.55,83.12,73,36,14.94,VU,1616889229
538,novikovo,51.1537,37.8879,34.92,98,100,7.25,RU,1616889230
539,port moresby,-9.4431,147.1797,84.2,79,20,3.44,PG,1616889230
540,lata,40.1629,-8.3327,46.99,84,27,1.01,PT,1616889231
541,nueva helvecia,-34.3,-57.2333,64.0,91,80,6.31,UY,1616889231
542,mildura,-34.2,142.15,63.0,63,31,5.75,AU,1616889232
543,altona,53.55,9.9333,37.99,87,19,9.22,DE,1616889232
544,loukhi,66.0764,33.0381,34.92,93,89,9.26,RU,1616889233
545,innisfail,-17.5333,146.0333,78.01,70,47,7.0,AU,1616889234
546,tucuman,-26.8241,-65.2226,68.0,77,0,2.3,AR,1616888979
547,alamogordo,32.8995,-105.9603,57.0,47,20,9.22,US,1616889235
548,yerbogachen,61.2767,108.0108,15.89,95,100,5.95,RU,1616889235
549,tartus,34.889,35.8866,44.01,81,0,3.44,SY,1616889236
550,mwinilunga,-11.7358,24.4293,62.2,97,100,0.38,ZM,1616889236
551,adrar,20.5022,-10.0711,77.83,5,1,9.69,MR,1616889237
552,vila franca do campo,37.7167,-25.4333,51.8,82,20,2.06,PT,1616889238
553,sao paulo de olivenca,-3.3783,-68.8725,74.7,97,81,2.66,BR,1616889238
554,alta floresta,-9.8756,-56.0861,77.0,94,40,1.14,BR,1616889239
555,puerto narino,-3.7703,-70.3831,78.8,94,75,2.3,CO,1616889239
556,moose factory,51.2585,-80.6094,26.6,68,1,6.91,CA,1616889240
557,mandurah,-32.55,115.7,66.99,72,0,2.3,AU,1616889240
558,tres arroyos,-38.3739,-60.2798,54.1,84,30,7.65,AR,1616889003
559,goruia,45.1862,21.7781,55.0,54,0,2.3,RO,1616889242
560,nynashamn,58.9034,17.9479,43.0,57,99,19.01,SE,1616889243
561,gimli,50.6336,-96.9907,32.0,74,100,8.05,CA,1616889243
562,bjorkelangen,59.8848,11.5694,30.0,95,70,3.18,NO,1616889244
563,fuerte olimpo,-21.0415,-57.8738,78.22,75,98,6.53,PY,1616889245
564,minot,48.2325,-101.2963,42.8,24,20,19.57,US,1616889245
